black won,21,1. d1-d3 f4-c4 2. e1-e3 e7-e10 3. d11-d10xe10 e6-e10 4. a8-c8 g7-g10xf10 5. h11-h10 f8-f10 6. b6-b9 f7-f9 7. g11-i11 f6-f7 8. j6-j9 f7-i7 9. i11-i10 i7-i1 10. j9-j1 i1-i3 11. j1-j3 i3-i1 12. j3-j1 i1-i3 13. j1-j3 i3-i1 14. j3-j1 i1-i7
black won,22,1. d1-d3 h6-h9 2. k4-i4 e7-b7 3. a8-b8xb7 f7-b7 4. d11-d9 e5-b5xb6 5. f2-c2 e6-e9 6. e11-e10 f4-c4 7. f10-f9xe9 d6-d8 8. f11-c11 f5-f2 9. h1-h3 f2-j2 10. f1-f2 b5-b3 11. a6-b6xb7 f6-c6 12. a7-d7xd8 c6-c5 13. k5-i5 h9-j9 14. d7-f7xf8 resigned
white won,23,1. h1-h3 h6-h9 2. j6-j9 g5-g2 3. f2-c2 g6-g3 4. k6-i6 f4-i4 5. g1-i1 i4-i3xh3 6. j9-j1 g7-i7 7. k8-i8xi7 f7-i7 8. i8-i9 f5-i5xi6 9. k4-j4 f6-j6 10. i9-j9 i3-k3 11. j1-j2 j6-k6 12. k7-k8 k3-k4xk5 13. j4-j3 k4-k3 14. i1-i2 g3-i3xj3 15. f1-h1 i3-i4 16. j2-k2 e6-j6 17. h1-j1 i7-k7 18. resigned
black won,24,1. d1-d3 f8-i8 2. d11-d9 h6-h3 3. k5-j5 g7-i7 4. f10-i10 e7-e10 5. b6-b10 f7-b7 6. j6-j9 f6-f8 7. e11-c11 f8-c8 8. a4-c4 e5-e2 9. d3-e3xe2 d6-d2 10. a5-b5 f5-d5 11. b5-b2 d5-a5 12. e3-a3 c8-c5 13. c4-c2 g5-g2 14. h1-h2xg2 c5-i5 15. k4-h4xh3 i5-i2 16. j5-j2 g6-g2xh2 17. g11-g3xg2 i2-i1 18. j2-j1 resigned
white won,25,1. h1-h3 f8-i8 2. k5-i5 g7-g10 3. e11-e9 f7-j7 4. a8-f8 g6-g9 5. h11-h10xg10 j7-j10 6. j6-j9 i8-j8xj9 7. i5-i8xj8 f6-f7 8. f2-j2 f7-i7 9. g11-j11 i7-i1 10. resigned
white won,26,1. h1-h3 g5-g2 2. f2-c2 f4-i4 3. g1-i1 g2-j2 4. k4-k2 f5-j5 5. i1-i2xj2 g7-j7xj6 6. f1-j1 f6-f3 7. b6-b3 g6-g1 8. i2-i1 f3-g3 9. g11-g9 i4-i3xh3 10. k5-k3 j7-j10 11. k8-k10 i3-i9 12. f10-i10xj10 i9-k9xk10 13. k7-j7 k9-k7 14. k6-k5 f7-i7xj7 15. a4-i4 j5-j10 16. h11-h10 g3-j3 17. k5-j5 j3-j4 18. f11-j11 j10-j6xj5 19. g9-k9 h6-h4xi4 20. j11-j9 f8-k8 21. a8-i8 j6-j8 22. h10-h6 h4-h5 23. h6-i6xi7 j4-a4 24. c2-a2 a4-a3xa2 25. k2-a2 a3-a4 26. a2-a3 a4-g4 27. resigned
black won,27,1. d1-d3 h6-h3 2. k8-i8 g7-j7 3. k5-i5 f7-i7 4. g11-g9 f8-c8 5. b6-b9 f6-f9 6. h11-h9 c8-c11 7. a8-b8 f9-c9 8. a4-c4 c9-c10 9. b9-b10 d6-d9 10. b8-b9 e5-e2 11. d3-e3xe2 d9-d2 12. e1-c1 d2-b2 13. a5-a2 f5-a5 14. c4-a4xa5 c10-c3 15. a4-a3 g5-d5 16. c1-c2xb2 c3-d3 17. j6-j3 f4-f3xe3 18. k6-i6xi7 resigned
white won,28,1. h1-h3 f4-i4 2. g1-g3 g5-i5 3. f2-i2 f5-f2 4. d1-d2 f6-f4 5. a4-c4 f4-h4 6. j6-j3 f2-h2xh3 7. f1-h1 h6-h10 8. k8-h8 h4-h7 9. h8-h9xh10 h7-j7 10. f10-j10 j7-j9 11. h11-i11 f8-k8 12. i11-i10 j9-k9 13. j10-k10 k9-i9 14. k10-k9xk8 g7-g9xh9 15. g11-i11 g9-a9 16. d11-d9 h2-h10 17. e11-e10 e7-b7 18. e10-a10xa9 e5-b5xb6 19. c4-c7xb7 i9-e9 20. a8-f8xf7 h10-c10 21. a7-a9 e9-e11 22. d9-d11 c10-c11xd11 23. c7-c10 b5-b10 24. i10-d10 g6-g11xf11 25. k9-d9 e11-e8 26. g3-g9 e8-c8 27. a6-c6 c8-c9xc10 28. a9-b9 c11-d11 29. d10-c10xb10 d11-c11xc10 30. j3-j10 c11-d11 31. a5-a9 e6-e9xd9 32. k6-e6xd6 c9-c11 33. b9-b11 d11-d6xe6 34. e1-e6xd6 c11-c7 35. b11-c11 c7-b7 36. resigned
white won,29,1. k8-i8 d6-d3 2. f2-c2 f8-c8 3. b6-b9 h6-h9 4. j6-j9 e7-e10 5. f10-f9 g7-g9 6. f9-e9xe10 f7-i7 7. i8-i10 g5-g2 8. h1-h3 g6-j6 9. k4-i4 g2-i2 10. g1-i1 j6-j2 11. h3-i3xi2 f6-j6 12. k5-j5 j2-j4xj5 13. i3-j3 h9-h4xi4 14. k6-k3 c8-k8 15. h11-h8 j6-k6xk7 16. g11-j11 e6-j6 17. resigned
white won,30,1. h1-h3 f4-c4 2. f2-c2 d6-d9 3. h11-h9 f8-c8 4. b6-b9 e6-b6 5. f10-c10 d9-d3 6. a4-a3 b6-b2 7. d1-d2 f6-b6 8. e1-b1 b6-b3 9. a5-a4 e5-e1 10. c2-c1 c4-c2 11. d2-d1xe1 c8-c4 12. f1-e1 f5-a5 13. a6-c6 d3-d6 14. h3-c3xc2 d6-d3xc3 15. c6-a6xa5 d3-k3 16. g1-g3 b3-f3 17. g3-h3 f3-f1 18. h3-h1 b2-j2 19. b1-b2 f1-f2 20. h1-h2 f2-f1 21. h2-h1 c4-i4 22. b2-h2 i4-i2 23. a4-g4 f1-f2 24. c1-c2 f2-g2xh2 25. e1-g1 g2-g3xg4 26. k8-i8 e7-e1 27. i8-i3 i2-i1 28. f11-f8xf7 e1-e4 29. f8-f2 g3-h3 30. i3-i4 h3-j3 31. i4-i2 j3-i3xi2 32. resigned
